"year";"week";"KW";"City.of.Bern";"Canton";"Cases.rollsum";"Number_weeks";"weeks.range";"Cases.range"
1919;"1919_w19";19;0;53;2214;7;"13_19_1919";0.03
1919;"1919_w20";20;2;95;1653;7;"14_20_1919";0.02
1919;"1919_w21";21;0;35;1314;7;"15_21_1919";0.02
1919;"1919_w22";22;11;64;765;7;"16_22_1919";0.01
1919;"1919_w23";23;3;22;666;7;"17_23_1919";0.01
1919;"1919_w24";24;1;8;346;7;"18_24_1919";0
1919;"1919_w25";25;1;17;294;7;"19_25_1919";0
1919;"1919_w26";26;0;0;241;7;"20_26_1919";0
1919;"1919_w27";27;0;0;146;7;"21_27_1919";0
1919;"1919_w28";28;0;0;111;7;"22_28_1919";0
1919;"1919_w29";29;0;0;47;7;"23_29_1919";0
1919;"1919_w30";30;0;0;25;7;"24_30_1919";0
1919;"1919_w31";31;0;0;17;7;"25_31_1919";0
1919;"1919_w32";32;0;0;0;7;"26_32_1919";0
1919;"1919_w33";33;0;0;0;7;"27_33_1919";0
1919;"1919_w34";34;0;0;0;7;"28_34_1919";0
1919;"1919_w35";35;0;0;0;7;"29_35_1919";0
1919;"1919_w36";36;0;0;0;7;"30_36_1919";0
1919;"1919_w37";37;0;0;0;7;"31_37_1919";0
1919;"1919_w38";38;0;0;0;7;"32_38_1919";0
1919;"1919_w39";39;0;0;0;7;"33_39_1919";0
1919;"1919_w40";40;0;0;0;7;"34_40_1919";0
1919;"1919_w41";41;0;0;0;7;"35_41_1919";0
1918;"1918_w25";25;0;3;3;8;"18_25_1918";0
1918;"1918_w26";26;0;0;3;8;"19_26_1918";0
1918;"1918_w27";27;7;16;19;8;"20_27_1918";0
1918;"1918_w28";28;60;298;317;8;"21_28_1918";0
1918;"1918_w29";29;240;1439;1756;8;"22_29_1918";0.02
1918;"1918_w30";30;2713;7845;9601;8;"23_30_1918";0.12
1918;"1918_w31";31;1801;7046;16647;8;"24_31_1918";0.2
1918;"1918_w32";32;641;3581;20228;8;"25_32_1918";0.25
1918;"1918_w33";33;236;1509;21734;8;"26_33_1918";0.27
1918;"1918_w34";34;115;903;22637;8;"27_34_1918";0.28
1918;"1918_w35";35;100;773;23394;8;"28_35_1918";0.29
1918;"1918_w36";36;31;406;23502;8;"29_36_1918";0.29
1918;"1918_w37";37;89;380;22443;8;"30_37_1918";0.27
1918;"1918_w38";38;0;222;14820;8;"31_38_1918";0.18
1918;"1918_w39";39;222;775;8549;8;"32_39_1918";0.1
1918;"1918_w40";40;304;1624;6592;8;"33_40_1918";0.08
1918;"1918_w41";41;622;2893;7976;8;"34_41_1918";0.1
1918;"1918_w42";42;751;3192;10265;8;"35_42_1918";0.13
1918;"1918_w43";43;1600;6437;15929;8;"36_43_1918";0.19
1918;"1918_w44";44;2118;9081;24604;8;"37_44_1918";0.3
1918;"1918_w45";45;1316;8596;32820;8;"38_45_1918";0.4
1918;"1918_w46";46;1634;7294;39892;8;"39_46_1918";0.49
1918;"1918_w47";47;633;5395;44512;8;"40_47_1918";0.54
1918;"1918_w48";48;1770;8133;51021;8;"41_48_1918";0.62
1918;"1918_w49";49;1564;7631;55759;8;"42_49_1918";0.68
1918;"1918_w50";50;677;8438;61005;8;"43_50_1918";0.74
1918;"1918_w51";51;420;3886;58454;8;"44_51_1918";0.71
1918;"1918_w52";52;181;4102;53475;8;"45_52_1918";0.65
1919;"1919_w1";1;94;1723;46602;8;"46_1_1919";0.57
1919;"1919_w2";2;150;2107;41415;8;"47_2_1919";0.51
1919;"1919_w3";3;172;1428;37448;8;"48_3_1919";0.46
1919;"1919_w4";4;113;1520;30835;8;"49_4_1919";0.38
1919;"1919_w5";5;409;1199;24403;8;"50_5_1919";0.3
1919;"1919_w6";6;524;2030;17995;8;"51_6_1919";0.22
1919;"1919_w7";7;393;921;15030;8;"52_7_1919";0.18
1919;"1919_w8";8;437;2050;12978;8;"1_8_1919";0.16
1919;"1919_w9";9;468;1117;12372;8;"2_9_1919";0.15
1919;"1919_w10";10;353;937;11202;8;"3_10_1919";0.14
1919;"1919_w11";11;266;1233;11007;8;"4_11_1919";0.13
1919;"1919_w12";12;167;534;10021;8;"5_12_1919";0.12
1919;"1919_w13";13;92;656;9478;8;"6_13_1919";0.12
1919;"1919_w14";14;77;374;7822;8;"7_14_1919";0.1
1919;"1919_w15";15;49;613;7514;8;"8_15_1919";0.09
1919;"1919_w16";16;0;121;5585;8;"9_16_1919";0.07
1919;"1919_w17";17;57;328;4796;8;"10_17_1919";0.06
1919;"1919_w18";18;35;69;3928;8;"11_18_1919";0.05
1919;"1919_w19";19;0;53;2748;8;"12_19_1919";0.03
1919;"1919_w20";20;2;95;2309;8;"13_20_1919";0.03
1919;"1919_w21";21;0;35;1688;8;"14_21_1919";0.02
1919;"1919_w22";22;11;64;1378;8;"15_22_1919";0.02
1919;"1919_w23";23;3;22;787;8;"16_23_1919";0.01
1919;"1919_w24";24;1;8;674;8;"17_24_1919";0.01
1919;"1919_w25";25;1;17;363;8;"18_25_1919";0
1919;"1919_w26";26;0;0;294;8;"19_26_1919";0
1919;"1919_w27";27;0;0;241;8;"20_27_1919";0
1919;"1919_w28";28;0;0;146;8;"21_28_1919";0
1919;"1919_w29";29;0;0;111;8;"22_29_1919";0
1919;"1919_w30";30;0;0;47;8;"23_30_1919";0
1919;"1919_w31";31;0;0;25;8;"24_31_1919";0
1919;"1919_w32";32;0;0;17;8;"25_32_1919";0
1919;"1919_w33";33;0;0;0;8;"26_33_1919";0
1919;"1919_w34";34;0;0;0;8;"27_34_1919";0
1919;"1919_w35";35;0;0;0;8;"28_35_1919";0
1919;"1919_w36";36;0;0;0;8;"29_36_1919";0
1919;"1919_w37";37;0;0;0;8;"30_37_1919";0
1919;"1919_w38";38;0;0;0;8;"31_38_1919";0
1919;"1919_w39";39;0;0;0;8;"32_39_1919";0
1919;"1919_w40";40;0;0;0;8;"33_40_1919";0
1919;"1919_w41";41;0;0;0;8;"34_41_1919";0
1918;"1918_w25";25;0;3;3;9;"17_25_1918";0
1918;"1918_w26";26;0;0;3;9;"18_26_1918";0
1918;"1918_w27";27;7;16;19;9;"19_27_1918";0
1918;"1918_w28";28;60;298;317;9;"20_28_1918";0
1918;"1918_w29";29;240;1439;1756;9;"21_29_1918";0.02
1918;"1918_w30";30;2713;7845;9601;9;"22_30_1918";0.12
1918;"1918_w31";31;1801;7046;16647;9;"23_31_1918";0.2
1918;"1918_w32";32;641;3581;20228;9;"24_32_1918";0.25
1918;"1918_w33";33;236;1509;21737;9;"25_33_1918";0.27
1918;"1918_w34";34;115;903;22637;9;"26_34_1918";0.28
1918;"1918_w35";35;100;773;23410;9;"27_35_1918";0.29
1918;"1918_w36";36;31;406;23800;9;"28_36_1918";0.29
1918;"1918_w37";37;89;380;23882;9;"29_37_1918";0.29
1918;"1918_w38";38;0;222;22665;9;"30_38_1918";0.28
1918;"1918_w39";39;222;775;15595;9;"31_39_1918";0.19
1918;"1918_w40";40;304;1624;10173;9;"32_40_1918";0.12
1918;"1918_w41";41;622;2893;9485;9;"33_41_1918";0.12
1918;"1918_w42";42;751;3192;11168;9;"34_42_1918";0.14
1918;"1918_w43";43;1600;6437;16702;9;"35_43_1918";0.2
1918;"1918_w44";44;2118;9081;25010;9;"36_44_1918";0.31
1918;"1918_w45";45;1316;8596;33200;9;"37_45_1918";0.41
1918;"1918_w46";46;1634;7294;40114;9;"38_46_1918";0.49
1918;"1918_w47";47;633;5395;45287;9;"39_47_1918";0.55
1918;"1918_w48";48;1770;8133;52645;9;"40_48_1918";0.64
1918;"1918_w49";49;1564;7631;58652;9;"41_49_1918";0.72
1918;"1918_w50";50;677;8438;64197;9;"42_50_1918";0.78
1918;"1918_w51";51;420;3886;64891;9;"43_51_1918";0.79
1918;"1918_w52";52;181;4102;62556;9;"44_52_1918";0.76
1919;"1919_w1";1;94;1723;55198;9;"45_1_1919";0.67
1919;"1919_w2";2;150;2107;48709;9;"46_2_1919";0.59
1919;"1919_w3";3;172;1428;42843;9;"47_3_1919";0.52
1919;"1919_w4";4;113;1520;38968;9;"48_4_1919";0.48
1919;"1919_w5";5;409;1199;32034;9;"49_5_1919";0.39
